Issue code,Issue name,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
"103590","ILJIN ELECTRIC","39400","-250","-0.63","39700","40050","38500","587418","23013113775","1878804366000","47685390"
"271940","ILJIN HYSOLUS","17650","220","1.26","17440","18490","17250","151901","2726919395","640927803500","36313190"
"020760","ILJINDISPLAY","1130","97","9.39","1077","1286","1043","22931717","27125981749","58210527330","51513741"
"015860","ILJINHOLDINGS","5610","-60","-1.06","5680","5710","5550","91771","515009400","276839379630","49347483"
"003120","ILSUNG IS","24800","-150","-0.60","24950","25000","24600","6232","154246700","329840000000","13300000"
"101140","INBIOGEN","11270","230","2.08","10890","11570","10620","72757","807482990","113198314320","10044216"
"034590","INCHEON CITY GAS","25650","100","0.39","25800","25900","25650","3386","87351050","112212440100","4374754"
"023810","INFAC","6430","-20","-0.31","6400","6440","6330","14362","91673595","64300000000","10000000"
"214320","INNOCEAN","18910","-120","-0.63","19050","19090","18890","61303","1161096090","756400000000","40000000"
"006490","INSCOB","1083","-67","-5.83","1149","1167","1070","708941","794681795","134834665308","124501076"
"129260","INTERGIS","2900","20","0.69","2850","2905","2845","62138","179071370","86268834600","29747874"
"015360","INVENI","62400","400","0.65","62100","63400","62100","6458","403948250","374400000000","6000000"
"010780","IS DONGSEO","19500","160","0.83","19500","19600","19110","43879","845877295","588646032000","30186976"
"007660","ISUPETASYS","61500","-1400","-2.23","62600","62600","60600","788677","48329537050","4514666968500","73409219"
"457190","ISUSPECIALTYCHEMICAL","48600","600","1.25","49000","50300","48050","358245","17497635775","1468122408000","30208280"
"031820","ITCENCTS","638","18","2.90","621","638","619","678301","429820538","77230835308","121051466"
"226320","ITSHANBUL","13130","40","0.31","13090","13180","13020","9871","129477765","287931905950","21929315"
"008500","IljeongInd","12700","-190","-1.47","13150","13150","12580","14784","187984795","15240000000","1200000"
"003200","IlshinSpng","10160","-40","-0.39","10270","10270","10080","22234","225740680","233273600000","22960000"
"007110","IlshinStone","2310","-25","-1.07","2330","2350","2275","2595026","5985385676","178924769100","77456610"
"013360","IlsungConst","1526","12","0.79","1521","1532","1512","135551","206301665","82441966880","54024880"
"007570","IlyangPharm","12960","10","0.08","12950","13210","12810","18657","243217520","247350205440","19085664"
"007575","IlyangPharm(1P)","13430","-120","-0.89","13680","13680","13420","167","2244090","5977424400","445080"
"014990","In the F","1540","135","9.61","1387","1639","1360","20454551","31525115261","115674012300","75112995"
"023800","Inzi","5930","130","2.24","5800","6060","5790","750293","4451197680","93748538210","15809197"
"005950","IsuChem","6030","40","0.67","6010","6120","5980","18090","108986870","158553839070","26294169"
"175330","JB Financial Group","22200","-300","-1.33","22450","22750","22100","586970","13105561400","4244265796800","191183144"
"271980","JEIL PHARM","14160","160","1.14","14150","14260","14000","13451","190572480","208220987520","14704872"
"002620","JEIL PHARMA HOLDINGS","8810","-70","-0.79","8860","8890","8790","1038","9155630","140725257550","15973355"
"089590","JEJUAIR","6850","-40","-0.58","6870","6890","6810","42137","288212310","552390747250","80640985"
"272450","JIN AIR","8950","30","0.34","8920","8950","8800","70291","622943795","467190000000","52200000"
"088790","JINDO","1880","-40","-2.08","1911","1931","1870","30650","58038342","23401758720","12447744"
"109070","JOOSUNG Corp","918","30","3.38","888","939","857","689045","629109305","48479791140","52810230"
"044380","JOOYONTECH","432","-13","-2.92","448","449","431","166237","72271533","28686464064","66403852"
"348950","JR GLOBAL REIT","2595","-5","-0.19","2600","2630","2555","1677576","4317012479","512190720000","197376000"
"194370","JS CORP","10410","-40","-0.38","10540","10580","10270","112225","1165279175","302064450780","29016758"
"079900","JUNJIN C&R","54700","0","0.00","55100","55900","53700","135034","7420212450","798212211500","14592545"
"096760","JW HOLDINGS","3420","-15","-0.44","3390","3470","3390","56071","192020780","252823301640","73924942"
"234080","JW LIFESCIENCE","12010","-80","-0.66","12090","12320","11910","73870","889278800","190172993540","15834554"
"001060","JWPHARMA","22300","150","0.68","22150","22550","22100","36128","805836750","519276239000","23285930"
"001065","JWPHARMA(1P)","29450","350","1.20","29600","29600","29100","411","12155550","10070456950","341951"
"001067","JWPHARMA(2PB)","62300","-300","-0.48","62300","62300","62300","5","311500","13081317900","209973"
"033240","JahwaElec","18390","-300","-1.61","18550","18680","18050","115938","2125601390","400104536040","21756636"
